"game_string","year","game_date","away_team_level","away_team","home_team_level","home_team"
"y1_d108_SPL_PHD","y1","d108",7,"SPL",7,"PHD"
"y1_d108_THF_ARN","y1","d108",7,"THF",7,"ARN"
"y1_d109_SPL_PHD","y1","d109",7,"SPL",7,"PHD"
"y1_d109_THF_ARN","y1","d109",7,"THF",7,"ARN"
"y1_d110_SPL_PHD","y1","d110",7,"SPL",7,"PHD"
"y1_d110_THF_ARN","y1","d110",7,"THF",7,"ARN"
"y1_d111_XGM_PHD","y1","d111",7,"XGM",7,"PHD"
"y1_d112_XGM_PHD","y1","d112",7,"XGM",7,"PHD"
"y1_d112_JPB_ANI","y1","d112",7,"JPB",7,"ANI"
"y1_d113_XGM_PHD","y1","d113",7,"XGM",7,"PHD"
"y1_d113_JPB_ANI","y1","d113",7,"JPB",7,"ANI"
"y1_d114_XGM_PHD","y1","d114",7,"XGM",7,"PHD"
"y1_d114_JPB_ANI","y1","d114",7,"JPB",7,"ANI"
"y1_d115_BXH_VAS","y1","d115",7,"BXH",7,"VAS"
"y1_d115_JPB_ANI","y1","d115",7,"JPB",7,"ANI"
"y1_d116_BXH_VAS","y1","d116",7,"BXH",7,"VAS"
"y1_d116_KTT_ARN","y1","d116",7,"KTT",7,"ARN"
"y1_d116.5_KTT_ARN","y1","d116.5",7,"KTT",7,"ARN"
"y1_d117_BXH_VAS","y1","d117",7,"BXH",7,"VAS"
"y1_d118_MKS_ARN","y1","d118",7,"MKS",7,"ARN"
"y1_d119_MKS_ARN","y1","d119",7,"MKS",7,"ARN"
"y1_d120_MKS_ARN","y1","d120",7,"MKS",7,"ARN"
"y1_d121_IOL_VAS","y1","d121",7,"IOL",7,"VAS"
"y1_d122_IOL_VAS","y1","d122",7,"IOL",7,"VAS"
"y1_d122_MSE_ANI","y1","d122",7,"MSE",7,"ANI"
"y1_d123_IOL_VAS","y1","d123",7,"IOL",7,"VAS"
"y1_d123_MSE_ANI","y1","d123",7,"MSE",7,"ANI"
"y1_d124_VAS_PHD","y1","d124",7,"VAS",7,"PHD"
"y1_d124_MSE_ANI","y1","d124",7,"MSE",7,"ANI"
"y1_d125_VAS_PHD","y1","d125",7,"VAS",7,"PHD"
"y1_d125_MEX_ANI","y1","d125",7,"MEX",7,"ANI"
"y1_d125_NWM_ARN","y1","d125",7,"NWM",7,"ARN"
"y1_d126_MEX_ANI","y1","d126",7,"MEX",7,"ANI"
"y1_d126_NWM_ARN","y1","d126",7,"NWM",7,"ARN"
"y1_d127_VAS_PHD","y1","d127",7,"VAS",7,"PHD"
"y1_d127_MEX_ANI","y1","d127",7,"MEX",7,"ANI"
"y1_d127_NWM_ARN","y1","d127",7,"NWM",7,"ARN"
"y1_d127.5_NWM_ARN","y1","d127.5",7,"NWM",7,"ARN"
"y1_d128_MEX_ANI","y1","d128",7,"MEX",7,"ANI"
"y1_d129_WDF_VAS","y1","d129",7,"WDF",7,"VAS"
"y1_d130_WDF_VAS","y1","d130",7,"WDF",7,"VAS"
"y1_d131_WDF_VAS","y1","d131",7,"WDF",7,"VAS"
"y1_d132_ARN_VAS","y1","d132",7,"ARN",7,"VAS"
"y1_d133_ARN_VAS","y1","d133",7,"ARN",7,"VAS"
"y1_d134_ARN_VAS","y1","d134",7,"ARN",7,"VAS"
"y1_d136_HYG_PHD","y1","d136",7,"HYG",7,"PHD"
"y1_d136_EXB_ARN","y1","d136",7,"EXB",7,"ARN"
"y1_d137_HYG_PHD","y1","d137",7,"HYG",7,"PHD"
"y1_d137_EXB_ARN","y1","d137",7,"EXB",7,"ARN"
"y1_d138_HYG_PHD","y1","d138",7,"HYG",7,"PHD"
"y1_d138_QBR_ANI","y1","d138",7,"QBR",7,"ANI"
"y1_d138_EXB_ARN","y1","d138",7,"EXB",7,"ARN"
"y1_d139_GNX_PHD","y1","d139",7,"GNX",7,"PHD"
"y1_d139_QBR_ANI","y1","d139",7,"QBR",7,"ANI"
"y1_d139_VAS_ARN","y1","d139",7,"VAS",7,"ARN"
"y1_d140_GNX_PHD","y1","d140",7,"GNX",7,"PHD"
"y1_d140_QBR_ANI","y1","d140",7,"QBR",7,"ANI"
"y1_d140_VAS_ARN","y1","d140",7,"VAS",7,"ARN"
"y1_d141_GNX_PHD","y1","d141",7,"GNX",7,"PHD"
"y1_d141_QBR_ANI","y1","d141",7,"QBR",7,"ANI"
"y1_d141_VAS_ARN","y1","d141",7,"VAS",7,"ARN"
"y1_d142_KVN_VAS","y1","d142",7,"KVN",7,"VAS"
"y1_d143_KVN_VAS","y1","d143",7,"KVN",7,"VAS"
"y1_d143_ADQ_ANI","y1","d143",7,"ADQ",7,"ANI"
"y1_d144_BKO_VAS","y1","d144",7,"BKO",7,"VAS"
"y1_d144_ADQ_ANI","y1","d144",7,"ADQ",7,"ANI"
"y1_d144_ALC_ARN","y1","d144",7,"ALC",7,"ARN"
"y1_d145_BKO_VAS","y1","d145",7,"BKO",7,"VAS"
"y1_d145_ADQ_ANI","y1","d145",7,"ADQ",7,"ANI"
"y1_d145_ALC_ARN","y1","d145",7,"ALC",7,"ARN"
"y1_d146_VHA_PHD","y1","d146",7,"VHA",7,"PHD"
"y1_d146_ADQ_ANI","y1","d146",7,"ADQ",7,"ANI"
"y1_d147_VHA_PHD","y1","d147",7,"VHA",7,"PHD"
"y1_d148_VHA_PHD","y1","d148",7,"VHA",7,"PHD"
"y1_d149_VNG_VAS","y1","d149",7,"VNG",7,"VAS"
"y1_d150_VNG_VAS","y1","d150",7,"VNG",7,"VAS"
"y1_d151_VNG_VAS","y1","d151",7,"VNG",7,"VAS"
"y1_d152_VAS_PHD","y1","d152",7,"VAS",7,"PHD"
"y1_d152_RME_ARN","y1","d152",7,"RME",7,"ARN"
"y1_d153_VAS_PHD","y1","d153",7,"VAS",7,"PHD"
"y1_d153.5_VAS_PHD","y1","d153.5",7,"VAS",7,"PHD"
"y1_d153_RME_ARN","y1","d153",7,"RME",7,"ARN"
"y1_d153.5_RME_ARN","y1","d153.5",7,"RME",7,"ARN"
"y1_d154_VAS_PHD","y1","d154",7,"VAS",7,"PHD"
"y1_d155_VAS_PHD","y1","d155",7,"VAS",7,"PHD"
"y1_d155_XOZ_ARN","y1","d155",7,"XOZ",7,"ARN"
"y1_d155.5_XOZ_ARN","y1","d155.5",7,"XOZ",7,"ARN"
"y1_d159_KZR_VAS","y1","d159",7,"KZR",7,"VAS"
"y1_d160_KZR_VAS","y1","d160",7,"KZR",7,"VAS"
"y1_d161_KZR_VAS","y1","d161",7,"KZR",7,"VAS"
"y1_d162_KZR_VAS","y1","d162",7,"KZR",7,"VAS"
"y1_d163_FNQ_PHD","y1","d163",7,"FNQ",7,"PHD"
"y1_d163_SZJ_ANI","y1","d163",7,"SZJ",7,"ANI"
"y1_d164_FNQ_PHD","y1","d164",7,"FNQ",7,"PHD"
"y1_d164_SZJ_ANI","y1","d164",7,"SZJ",7,"ANI"
"y1_d164.5_SZJ_ANI","y1","d164.5",7,"SZJ",7,"ANI"
"y1_d165_FNQ_PHD","y1","d165",7,"FNQ",7,"PHD"
"y1_d165_SZJ_ANI","y1","d165",7,"SZJ",7,"ANI"
"y1_d166_FNQ_PHD","y1","d166",7,"FNQ",7,"PHD"
"y1_d166_SZJ_ANI","y1","d166",7,"SZJ",7,"ANI"
"y1_d167_MPC_PHD","y1","d167",7,"MPC",7,"PHD"
"y1_d167_EMB_ANI","y1","d167",7,"EMB",7,"ANI"
"y1_d167_BTL_ARN","y1","d167",7,"BTL",7,"ARN"
"y1_d168_MPC_PHD","y1","d168",7,"MPC",7,"PHD"
"y1_d168_EMB_ANI","y1","d168",7,"EMB",7,"ANI"
"y1_d168_BTL_ARN","y1","d168",7,"BTL",7,"ARN"
"y1_d169_MPC_PHD","y1","d169",7,"MPC",7,"PHD"
"y1_d169_EMB_ANI","y1","d169",7,"EMB",7,"ANI"
"y1_d169_BTL_ARN","y1","d169",7,"BTL",7,"ARN"
"y1_d171_OWV_VAS","y1","d171",7,"OWV",7,"VAS"
"y1_d171_IGL_ANI","y1","d171",7,"IGL",7,"ANI"
"y1_d172_OWV_VAS","y1","d172",7,"OWV",7,"VAS"
"y1_d172_IGL_ANI","y1","d172",7,"IGL",7,"ANI"
"y1_d173_OWV_VAS","y1","d173",7,"OWV",7,"VAS"
"y1_d173_IGL_ANI","y1","d173",7,"IGL",7,"ANI"
"y1_d174_MTW_VAS","y1","d174",7,"MTW",7,"VAS"
"y1_d175_MTW_VAS","y1","d175",7,"MTW",7,"VAS"
"y1_d176_MTW_VAS","y1","d176",7,"MTW",7,"VAS"
"y1_d177_VAS_PHD","y1","d177",7,"VAS",7,"PHD"
"y1_d177_AVV_ARN","y1","d177",7,"AVV",7,"ARN"
"y1_d178_VAS_PHD","y1","d178",7,"VAS",7,"PHD"
"y1_d178_FET_ANI","y1","d178",7,"FET",7,"ANI"
"y1_d178_AVV_ARN","y1","d178",7,"AVV",7,"ARN"
"y1_d179_YXL_PHD","y1","d179",7,"YXL",7,"PHD"
"y1_d179_FET_ANI","y1","d179",7,"FET",7,"ANI"
"y1_d180_YXL_PHD","y1","d180",7,"YXL",7,"PHD"
"y1_d180_FET_ANI","y1","d180",7,"FET",7,"ANI"
"y1_d181_TQS_PHD","y1","d181",7,"TQS",7,"PHD"
"y1_d181_WIF_ANI","y1","d181",7,"WIF",7,"ANI"
"y1_d181_LRQ_ARN","y1","d181",7,"LRQ",7,"ARN"
"y1_d182_TQS_PHD","y1","d182",7,"TQS",7,"PHD"
"y1_d182_WIF_ANI","y1","d182",7,"WIF",7,"ANI"
"y1_d182_LRQ_ARN","y1","d182",7,"LRQ",7,"ARN"
"y1_d183_WIF_ANI","y1","d183",7,"WIF",7,"ANI"
"y1_d183_LRQ_ARN","y1","d183",7,"LRQ",7,"ARN"
"y1_d184_WIF_ANI","y1","d184",7,"WIF",7,"ANI"
"y1_d185_RRM_VAS","y1","d185",7,"RRM",7,"VAS"
"y1_d185_TDW_ARN","y1","d185",7,"TDW",7,"ARN"
"y1_d186_RRM_VAS","y1","d186",7,"RRM",7,"VAS"
"y1_d186_TDW_ARN","y1","d186",7,"TDW",7,"ARN"
"y1_d187_RRM_VAS","y1","d187",7,"RRM",7,"VAS"
"y1_d187_TDW_ARN","y1","d187",7,"TDW",7,"ARN"
"y1_d188_GJP_VAS","y1","d188",7,"GJP",7,"VAS"
"y1_d188_PHD_ARN","y1","d188",7,"PHD",7,"ARN"
"y1_d189_GJP_VAS","y1","d189",7,"GJP",7,"VAS"
"y1_d189_PHD_ARN","y1","d189",7,"PHD",7,"ARN"
"y1_d190_GJP_VAS","y1","d190",7,"GJP",7,"VAS"
"y1_d190_PHD_ARN","y1","d190",7,"PHD",7,"ARN"
"y1_d194_FXP_ANI","y1","d194",7,"FXP",7,"ANI"
"y1_d195_ARN_PHD","y1","d195",7,"ARN",7,"PHD"
"y1_d195_FXP_ANI","y1","d195",7,"FXP",7,"ANI"
"y1_d196_ARN_PHD","y1","d196",7,"ARN",7,"PHD"
"y1_d196_FXP_ANI","y1","d196",7,"FXP",7,"ANI"
"y1_d197_ARN_PHD","y1","d197",7,"ARN",7,"PHD"
"y1_d197_FXP_ANI","y1","d197",7,"FXP",7,"ANI"
"y1_d198_JGO_VAS","y1","d198",7,"JGO",7,"VAS"
"y1_d198_TES_ARN","y1","d198",7,"TES",7,"ARN"
"y1_d199_JGO_VAS","y1","d199",7,"JGO",7,"VAS"
"y1_d199_TES_ARN","y1","d199",7,"TES",7,"ARN"
"y1_d200_JGO_VAS","y1","d200",7,"JGO",7,"VAS"
"y1_d200_TES_ARN","y1","d200",7,"TES",7,"ARN"
"y1_d201_JGO_VAS","y1","d201",7,"JGO",7,"VAS"
"y1_d201_TES_ARN","y1","d201",7,"TES",7,"ARN"
"y1_d202_PHD_VAS","y1","d202",7,"PHD",7,"VAS"
"y1_d203_PHD_VAS","y1","d203",7,"PHD",7,"VAS"
"y1_d204_PHD_VAS","y1","d204",7,"PHD",7,"VAS"
"y1_d205_ATL_PHD","y1","d205",7,"ATL",7,"PHD"
"y1_d206_ATL_PHD","y1","d206",7,"ATL",7,"PHD"
"y1_d207_ATL_PHD","y1","d207",7,"ATL",7,"PHD"
"y1_d208_ATL_PHD","y1","d208",7,"ATL",7,"PHD"
"y1_d209_PHD_VAS","y1","d209",7,"PHD",7,"VAS"
"y1_d209_QHX_ANI","y1","d209",7,"QHX",7,"ANI"
"y1_d209_PWH_ARN","y1","d209",7,"PWH",7,"ARN"
"y1_d210_PHD_VAS","y1","d210",7,"PHD",7,"VAS"
"y1_d210_QHX_ANI","y1","d210",7,"QHX",7,"ANI"
"y1_d210_PWH_ARN","y1","d210",7,"PWH",7,"ARN"
"y1_d211_PHD_VAS","y1","d211",7,"PHD",7,"VAS"
"y1_d211_QHX_ANI","y1","d211",7,"QHX",7,"ANI"
"y1_d211_PWH_ARN","y1","d211",7,"PWH",7,"ARN"
"y1_d212_PHD_VAS","y1","d212",7,"PHD",7,"VAS"
"y1_d212_QHX_ANI","y1","d212",7,"QHX",7,"ANI"
"y1_d212_PWH_ARN","y1","d212",7,"PWH",7,"ARN"
"y1_d213_HNO_ARN","y1","d213",7,"HNO",7,"ARN"
"y1_d214_ARN_VAS","y1","d214",7,"ARN",7,"VAS"
"y1_d216_ARN_VAS","y1","d216",7,"ARN",7,"VAS"
"y1_d217_VAS_ARN","y1","d217",7,"VAS",7,"ARN"
